feature_set,covariance,k,bic,aic,loglik,silhouette,entropy,min_cluster_size
structured_pca6,spherical,6,2250.9162398489907,2122.3149127744496,-8.896118038484428,0.2166283211552581,0.048459029962548694,3
structured_pca6,spherical,5,2265.2835830243525,2158.571843536967,-9.125315103232312,0.1628839848510726,0.12401050745552575,11
structured_pca6,diag,6,2290.4869314050134,2079.7996508786373,-8.446489696836128,0.21244983966446288,0.07273600369686088,4
structured_pca6,full,3,2292.403383068947,2065.2989118522037,-8.330258385316682,0.2269705518282506,0.06944267109169265,14
structured_pca6,spherical,4,2322.7318788608422,2237.9097269606127,-9.543463714739529,0.07738499340220209,0.10804011240431323,3
structured_pca6,diag,4,2327.1068545846438,2187.5607337165243,-9.147196200511072,0.18597259191865606,0.0985222141712476,3
structured_pca6,full,4,2331.7777990263,2028.0597712545107,-7.921314786203994,0.2228679103096891,0.05693518761696367,5
structured_pca6,full,5,2332.060178700215,1951.72859437338,-7.340914887602544,0.27406745018393397,0.033418085398920945,6
structured_pca6,full,6,2351.0395288188465,1894.0943879369656,-6.842519245337568,0.27412285516174856,0.008248286098832897,4
structured_pca6,spherical,3,2351.6045145300473,2288.671950216974,-9.83628048340778,0.2383162542698712,0.2520510995082418,11
structured_pca6,full,2,2354.3800758138254,2203.889161152128,-9.183724391018105,0.20219821766744103,0.043292378418798884,36
structured_pca6,tied,6,2373.6019275028225,2203.957623702364,-9.122621156589314,0.27232570490784536,0.0892557593299348,5
structured_pca6,diag,3,2384.2926667982797,2280.317125759289,-9.66805756911969,0.24489396779689007,0.18516539902662257,14
structured_pca6,tied,4,2388.704901676835,2257.3673761538994,-9.479681474359207,0.2548168006406042,0.04893043132579164,6
structured_pca6,tied,5,2388.8976288003055,2238.406714138608,-9.335117167274596,0.2731550772380587,0.09271243660546742,6
structured_pca6,diag,5,2389.437689286795,2214.320988589547,-9.15053065170854,0.24860410391700583,0.1196920320720698,4
structured_pca6,diag,2,2405.67567124621,2337.2707100363477,-10.031889079106788,0.13519709481956552,0.14749313994379704,35
structured_pca6,tied,2,2410.9277348421037,2317.896987596691,-9.867969243845135,0.2624739155604572,0.007350672196885779,21
structured_pca6,spherical,2,2416.6114859301056,2375.568509204188,-10.287581180720123,0.2382332108126691,0.27844983959736264,33
structured_pca6,tied,3,2432.923771660075,2320.7396352759006,-9.819033488052195,0.22555689291615186,0.05854520684872934,15
structured_text_pca6,full,4,2319.542360525789,2015.824332754,-7.867650582254385,0.15881790535933532,0.06495241477503176,11
structured_text_pca6,full,5,2329.912714159205,1949.58112983237,-7.3314961834753065,0.20270538469865432,0.03735598956552857,10
structured_text_pca6,full,6,2345.919714289344,1888.9745734074631,-6.820063918453786,0.18279145394965016,0.09602043233977701,7
structured_text_pca6,spherical,5,2356.00829311412,2249.2965536267347,-9.52323049836287,0.11155126010360639,0.26031483901003305,1
structured_text_pca6,spherical,6,2365.1539138399285,2236.5525867653873,-9.397160468269243,0.06908370988645204,0.20154495083048804,6
structured_text_pca6,spherical,4,2380.8472624799597,2296.02511057973,-9.79835574815671,-0.001770241614133639,0.08598695188763622,6
structured_text_pca6,diag,5,2382.2030797479815,2207.0863790507337,-9.118799908117253,0.24795757361524445,0.164974252502438,9
structured_text_pca6,spherical,3,2395.7887664616555,2332.8562021485823,-10.030071062055185,0.09151964930581062,0.014501047378008364,6
structured_text_pca6,diag,6,2397.2693144810105,2186.5820339546344,-8.914833482257167,0.22907119193490685,0.19649774929375502,10
structured_text_pca6,diag,4,2401.281978030328,2261.7358571622085,-9.472525689307933,0.1401845115778494,0.08083855037698678,10
structured_text_pca6,full,3,2420.508138793091,2193.4036675763477,-8.89212134901907,0.2254968246996597,0.06837210200847033,14
structured_text_pca6,diag,3,2448.3168000613964,2344.3412590224057,-9.948865171150903,0.13528445043455384,0.1603485557879669,17
structured_text_pca6,tied,6,2449.543457282019,2279.8991534815605,-9.45569804158579,0.2604004148078713,0.11263257705394017,6
structured_text_pca6,diag,2,2450.9189514616755,2382.513990251813,-10.230324518648303,0.2101518581901044,0.21386689821869123,33
structured_text_pca6,full,2,2458.464034542589,2307.9731198808918,-9.640232981933735,0.10793492431652704,0.10218316155992793,44
structured_text_pca6,spherical,2,2495.8616523977157,2454.8186756717982,-10.635169630139465,0.23635708046013865,0.2859961775855025,35
structured_text_pca6,tied,4,2497.5996766831563,2366.2621511602206,-9.957290136667634,0.16650601939681747,0.07671399490459777,6
structured_text_pca6,tied,5,2498.232580215478,2347.7416655537804,-9.814656427867458,0.23992455811244126,0.12514401923387394,1
structured_text_pca6,tied,3,2520.996719995964,2408.8125836117897,-10.205318349174517,0.25923548344915626,0.06741827053685767,13
structured_text_pca6,tied,2,2547.6244913939054,2454.5937441484925,-10.467516421703914,0.2943664341146832,0.015458656672765336,18
